<3>[17:01:35] pid[10783]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[:3306  ]: Unknown MySQL server host '' (110)
<3>[17:02:28] pid[10850]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 dnsserver dnsserver]: Access denied for user 'dnsserver'@'localhost' (using password: YES)
<3>[20:45:03] pid[3022]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:03] pid[3023]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:03] pid[3024]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:15] pid[3038]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:18] pid[3061]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:18] pid[3062]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:19] pid[3072]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:19] pid[3074]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:19] pid[3086]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
<3>[20:45:19] pid[3084]: CallStatis.cc(24)[CallStatis]: Failed to connect to MySQL[127.0.0.1:3306 root dnsserver]: Can't connect to MySQL server on '127.0.0.1' (111)
